month,crime_category,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,previous_year_reg,previous_year_det,,
2026-03,Murder,20,19,10,10,39,38,34,34,,
2026-03,Att.to.C.Murder,46,44,30,27,100,98,69,68,,
2026-03,Dacoity,1,1,2,2,6,6,2,2,,
2026-03,Prep.for Dacoity,0,0,0,0,1,1,1,1,,
2026-03,Robbery,38,37,27,24,90,88,74,74,,
2026-03,Robbery Chain Snatching,5,4,13,9,25,23,21,20,,
2026-03,Att.to.C.Robbery,0,0,0,0,0,0,5,4,,
2026-03,Extortion,31,25,26,21,73,63,69,55,,
2026-03,H.B.T.Day,13,4,9,4,32,16,43,24,,
2026-03,H.B.T.Night.,72,26,53,24,202,113,214,125,,
2026-03,Thefts.,577,141,547,145,1621,522,1397,442,,
2026-03,M.V.Thefts.,201,68,193,67,580,287,540,239,,
2026-03,Snatching,5,5,15,11,38,34,52,31,,
2026-03,Hurt,465,425,323,292,1118,1069,1120,1084,,
2026-03,Riots.,64,58,44,37,152,145,96,96,,
2026-03,Rape,61,56,67,55,196,189,236,236,,
2026-03,Molestation,187,162,167,136,527,489,669,669,,
2026-03,Other I.P.C.,5911,4980,5129,4198,14458,12261,7469,5474,,
2026-02,Murder,19,19,19,19,19,19,19,19,,
2026-02,Att.to.C.Murder,45,44,45,44,45,44,45,44,,
2026-02,Dacoity,2,2,2,2,2,2,2,2,,
2026-02,Prep.for Dacoity,1,1,1,1,1,1,1,1,,
2026-02,Robbery,46,46,46,46,46,46,46,46,,
2026-02,Robbery Chain Snatching,19,18,19,18,19,18,19,18,,
2026-02,Att.to.C.Robbery,5,4,5,4,5,4,5,4,,
2026-02,Extortion,44,30,44,30,44,30,44,30,,
2026-02,H.B.T.Day,35,17,35,17,35,17,35,17,,
2026-02,H.B.T.Night.,146,78,146,78,146,78,146,78,,
2026-02,Thefts.,932,296,932,296,932,296,932,296,,
2026-02,M.V.Thefts.,363,140,363,140,363,140,363,140,,
2026-02,Snatching,33,16,33,16,33,16,33,16,,
2026-02,Hurt,657,555,657,555,657,555,657,555,,
2026-02,Riots.,58,50,58,50,58,50,58,50,,
2026-02,Rape,144,137,144,137,144,137,144,137,,
2026-02,Molestation,421,420,421,420,421,420,421,420,,
2026-02,Other I.P.C.,5114,3739,5114,3739,5114,3739,5114,3739,,
2026-01,Murder,8,8,7,6,8,8,9,8,,
2026-01,Att.to.C.Murder,24,23,23,21,24,23,24,23,,
2026-01,Dacoity,3,3,5,5,3,3,1,1,,
2026-01,Prep.for Dacoity,1,1,0,0,1,1,1,1,,
2026-01,Robbery,26,25,38,37,26,25,34,34,,
2026-01,Robbery Chain Snatching,6,3,4,3,6,3,16,16,,
2026-01,Att.to.C.Robbery,0,0,1,1,0,0,4,3,,
2026-01,Extortion,16,9,40,29,16,9,25,15,,
2026-01,H.B.T.Day,10,4,20,4,10,4,19,6,,
2026-01,H.B.T.Night.,75,36,86,35,75,36,86,46,,
2026-01,Thefts.,496,125,590,132,496,125,494,144,,
2026-01,M.V.Thefts.,188,63,184,50,188,63,182,57,,
2026-01,Snatching,18,9,15,7,18,9,20,7,,
2026-01,Hurt,332,307,334,303,332,307,336,276,,
2026-01,Riots.,41,37,47,41,41,37,24,20,,
2026-01,Rape,80,61,104,85,80,61,82,82,,
2026-01,Molestation,174,150,235,193,174,150,231,231,,
2026-01,Other I.P.C.,3427,2636,4355,3387,3427,2636,2707,1921,,
2025-12,Murder,7,6,9,9,126,123,107,105,,
2025-12,Att.to.C.Murder,23,21,28,28,324,321,303,301,,
2025-12,Dacoity,5,5,3,3,20,20,16,16,,
2025-12,Prep.for Dacoity,0,0,0,0,2,2,10,10,,
2025-12,Robbery,38,37,30,29,321,318,474,467,,
2025-12,Robbery Chain Snatching,4,3,13,13,85,81,116,109,,
2025-12,Att.to.C.Robbery,1,1,0,0,10,9,19,19,,
2025-12,Extortion,40,29,21,17,314,290,199,177,,
2025-12,H.B.T.Day,20,4,14,3,179,105,237,139,,
2025-12,H.B.T.Night.,86,35,82,34,904,615,1070,639,,
2025-12,Thefts.,589,132,618,140,8060,2717,8262,2741,,
2025-12,M.V.Thefts.,184,50,194,46,2299,1357,2589,1450,,
2025-12,Snatching,15,7,6,4,181,146,117,69,,
2025-12,Hurt,334,303,301,274,4122,4053,4362,4180,,
2025-12,Riots.,47,41,38,35,451,431,323,318,,
2025-12,Rape,104,85,97,76,1262,1211,1051,1037,,
2025-12,Molestation,235,193,193,167,2468,2383,2397,2386,,
2025-12,Other I.P.C.,4356,3387,4543,3707,42884,37377,31066,24864,,
2025-11,Murder,9,9,9,9,117,115,101,99,,
2025-11,Att.to.C.Murder,28,28,37,37,302,301,283,281,,
2025-11,Dacoity,3,3,3,3,15,15,15,15,,
2025-11,Prep.for Dacoity,0,0,0,0,2,2,10,10,,
2025-11,Robbery,30,29,47,46,282,279,448,442,,
2025-11,Robbery Chain Snatching,13,13,6,1,81,77,110,101,,
2025-11,Att.to.C.Robbery,0,0,2,2,9,8,19,19,,
2025-11,Extortion,21,17,23,18,273,256,182,154,,
2025-11,H.B.T.Day,14,3,20,6,161,98,219,126,,
2025-11,H.B.T.Night.,82,34,65,19,816,548,982,576,,
2025-11,Thefts.,618,140,795,184,7470,2474,7808,2533,,
2025-11,M.V.Thefts.,194,46,210,73,2117,1229,2386,1269,,
2025-11,Snatching,6,4,16,11,165,138,100,55,,
2025-11,Hurt,301,274,441,405,3789,3728,4002,3787,,
2025-11,Riots.,38,35,47,44,404,387,299,294,,
2025-11,Rape,97,76,111,88,1141,1091,958,946,,
2025-11,Molestation,193,167,188,162,2231,2167,2218,2083,,
2025-11,Other I.P.C.,4543,3707,3356,2649,38550,33541,28203,22114,,
2025-10,Murder,9,9,11,11,107,105,88,86,,
2025-10,Att.to.C.Murder,37,37,31,29,273,271,265,264,,
2025-10,Dacoity,3,3,1,1,12,12,20,19,,
2025-10,Prep.for Dacoity,0,0,0,0,2,2,9,9,,
2025-10,Robbery,47,46,27,23,251,248,423,416,,
2025-10,Robbery Chain Snatching,6,1,7,5,69,61,103,95,,
2025-10,Att.to.C.Robbery,2,2,0,0,10,9,17,17,,
